Sample,Timepoint,Oxygen,Time_hr,Temperature
MQ,2,183.8,2,15.804
MQ,20,182.9,20,15.762
MQ,22,189.2,22,15.54
MQ,24,184,24,15.524
MQ,26,185.2,26,15.659
MQ,44,188.6,44,15.077
MQ,46,188.7,46,15.094
MQ,48,188.1,48,15.154
SK1,2,205.3,2,15.643
SK1,20,203.4,20,15.564
SK1,22,201.6,22,15.542
SK1,24,199.4,24,15.492
SK1,26,199.1,26,15.562
SK1,44,201.2,44,15.087
SK1,46,196.5,46,15.114
SK1,48,196.9,48,15.099
SK2,2,208.7,2,15.507
SK2,20,207.4,20,15.573
SK2,22,205.4,22,15.529
SK2,24,202.6,24,15.456
SK2,26,204.3,26,15.544
SK2,44,207.7,44,15.041
SK2,46,205.6,46,15.059
SK2,48,204.2,48,15.082
SK3,2,205,2,15.498
SK3,20,203.8,20,15.617
SK3,22,199.5,22,15.533
SK3,24,197.2,24,15.481
SK3,26,198.7,26,15.527
SK3,44,201.6,44,15.048
SK3,46,197.6,46,15.069
SK3,48,197.7,48,15.094
SK4,2,205.8,2,15.52
SK4,20,207.5,20,15.58
SK4,22,200.4,22,15.523
SK4,24,198.7,24,15.505
SK4,26,200.9,26,15.529
SK4,44,202.6,44,15.045
SK4,46,200.6,46,15.091
SK4,48,199.4,48,15.075
SK5,2,213.9,2,15.421
SK5,20,205.1,20,15.549
SK5,22,197.8,22,15.466
SK5,24,196,24,15.572
SK5,26,200.8,26,15.517
SK5,44,196.9,44,15.034
SK5,46,194.3,46,15.049
SK5,48,194.3,48,15.097
