Sample,Timepoint,Oxygen,Time_hr
MQ,0,155.224,0
MQ,2,157.298,2
MQ,22,143.356,22
MQ,26,141.299,26
MQ,46,137.69,46
MQ,48,136.25,48
FP1,0,246.208,0
FP1,2,249.786,2
FP1,22,231.083,22
FP1,26,228.389,26
FP1,46,214.236,46
FP1,48,211.413,48
FP2,0,238.291,0
FP2,2,240.511,2
FP2,22,225.125,22
FP2,26,223.998,26
FP2,46,205.408,46
FP2,48,200.416,48
