Sample,Timepoint,Oxygen,Time_hr,Temperature
MQ,2,183.8,2,15.804
MQ,20,182.9,20,15.762
MQ,22,189.2,22,15.54
MQ,24,184,24,15.524
MQ,26,185.2,26,15.659
MQ,44,188.6,44,15.077
MQ,46,188.7,46,15.094
MQ,48,188.1,48,15.154
Gh1,2,204.3,2,15.503
Gh1,20,194,20,15.501
Gh1,22,187.4,22,15.425
Gh1,24,185.1,24,15.604
Gh1,26,190.6,26,15.508
Gh1,44,179.2,44,15.046
Gh1,46,176.6,46,15.023
Gh1,48,175.9,48,15.048
Gh2,2,206.9,2,15.78
Gh2,20,198.2,20,15.514
Gh2,22,193.4,22,15.449
Gh2,24,186.9,24,15.607
Gh2,26,194.2,26,15.504
Gh2,44,187.2,44,15.064
Gh2,46,184.2,46,15.022
Gh2,48,186.2,48,15.046
Gh3,2,198.9,2,15.799
Gh3,20,193.7,20,15.483
Gh3,22,184.8,22,15.472
Gh3,24,182.8,24,15.594
Gh3,26,186.9,26,15.491
Gh3,44,183.5,44,15.063
Gh3,46,180.4,46,15.085
Gh3,48,180.9,48,15.044
Gh4,2,204.1,2,15.684
Gh4,20,197.2,20,15.414
Gh4,22,191.7,22,15.509
Gh4,24,190.2,24,15.508
Gh4,26,192.6,26,15.535
Gh4,44,189.9,44,15.067
Gh4,46,184.7,46,15.015
Gh4,48,184.8,48,15.035
Gh5,2,196,2,15.687
Gh5,20,187.5,20,15.392
Gh5,22,181,22,15.516
Gh5,24,182.1,24,15.468
Gh5,26,184.6,26,15.565
Gh5,44,180.3,44,15.056
Gh5,46,176.4,46,15.014
Gh5,48,177.6,48,15.023
